BusStationName,Latitude,Longitude
Vijaya Bank Banneragatta Circle,12.815648,77.583173
Bannerghatta Circle,12.813644,77.581013
"Sampigehalli,BHANNERGAHTTA POST",12.805723,77.579002
Bannerghatta National Park,12.80065,77.577816
"Nagarabhavi BDA Complex,NAGARABHAVI 2ND STAGE,BESIDE BDA COMPLEX NAGARABHAVI",12.979107,77.510689
"Papareddy Palya,PAPAREDDY PALYA,BESIDE SHARADA TIMBERS",12.972425,77.5079
"Deepa Complex,PAPAREDDY PALYA,BESIDE DEEPA COMPLEX",12.966772,77.505035
"Ambedkar College,80FEET OUTER RING ROAD,IN FRONT OF FISH PRODUCT SALES COUNTER",12.960259,77.504973
"NGEF Layout,NGEF LAYOUT,IN FRONT OF TEJASWINI PHARMA",12.960946,77.509724
"Nrupatunga Nagar,N.G.E.F.LAYOUT,IN FRONT OF TWINKLERS VIDYANIKETHAN",12.958073,77.509915
"Nagarabhavi Village,NAGARABHAVI VILLAGE,BESIDE DANVANTHARI HOMEO CLINIC",12.956932,77.515831
"NAGARBHAVI CIRCLE,NAGARABHAVI CIRCLE,OPPOSITE OF DURGA PARAMESHWARI HOTEL",12.959698,77.519775
"Jyothi Nagara,JYOTHI NAGARA,IN FRONT OF BASAVESHWARA TRADERS",12.959377,77.521651
"Chandra Layout,CHANDRA LAYOUT,OPPOSITE OF CHANDRAGIRI PALACE",12.958301,77.526499
"Chandra Layout Ganesh temple,CHANDRA LAYOUT,BESIDE POST OFFICE",12.958366,77.528803
"Chandra Public School Chandra Layout,CHANDRA LAYOUT,BESIDE SPIRIT JUNCTION",12.960409,77.529523
"Income Tax Layout,VIJAYANAGARA,BESIDE A.M.HOSPITAL",12.960007,77.53148
"Attiguppe,RPC LAYOUT,OPPOSITE OF SYNDICATE BANK",12.957962,77.534049
"Deepanjalinagara Depot-16,DEEPANJALI NAGARA,OPPOSITE OF DEPOT 16",12.951521,77.537268
Bapuji Nagara,12.953576,77.542155
New Guddadahalli,12.955766,77.545647
Azad Nagar,12.957244,77.551338
"Sirsi Circle,SIRSI CIRCLE",12.960461,77.556935
Vinayaka Talkies KR Market,12.96328,77.56717
